key,row,column,notes,row12
nephilim,451,0.4,'=E2*12.5-11.5,37
sarai,801,0.4,Sarai - Pharaoh & Abimelech (#1) ,65
rebekah,963.5,0.4,Rebekah - Abimelech (#2) ,78
esau,976,0.4,Jacob - Esau ,79
famine,1101,0.4,Jacob’s Family - Seven-year Famine ,89
pharaoh,1138.5,0.4,Israelite Males - Pharaoh ,92
saul,276,15.4,David - Saul ,23
ataliah,526,15.4,Jehoash - Ataliah ,43
hezekiah,613.5,15.4,"Hezekiah - Sickness, no son ",50
babylon,651,15.4,Israel - Babylon,53
haman,788.5,15.4,Jews - Haman,64
herod,951,15.4,Jesus - Herod (Killing male babies) ,77
satan,1101,15.4,Jesus - Satan (3 Tests) ,89
nazareth,1113.5,15.4,Jesus - Men of Nazareth (Attempt to throw him from cliff) ,90
pharisees,1126,15.4,Jesus - Pharisees (Many attempts on life before appointed time) ,91
