key,row,column,rows,notes,row12,
eden2,401,0.4,4,Genesis 3:15,33,32
noah2,488.5,0.4,10,'=E2*12.5-11.5,40,39
rainbow2,626,0.4,4,Raibow Covenant,51,50
abraham2,713.5,0.4,7,,58,57
circumcision2,838.5,0.4,6,,68,67
mosaic2,26,15.4,7,,3,2
levi2,126,15.4,3,,11,10
israel2,201,15.4,4,,17,16
david2,313.5,15.4,7,,26,25
melchizedek2,413.5,15.4,2,,34,33
new2,988.5,15.4,4,,80,79
followers2,1051,15.4,4,,85,84
1913_text,938.5,0.4,3,,76,
jacob_text,1001,0.4,3,,81,
1711_text,1063.5,0.4,4,,86,
1473_text,176,15.4,1,,15,
1043_text,463.5,15.4,4,,38,
isaiah_text,538.5,15.4,5,,44,
607_text,663.5,15.4,5,,54,
539_text,751,15.4,1,,61,
455_text,826,15.4,1,,67,
2_text,901,15.4,4,,73,
